, Enero I , Enero II , Febrero I , Febrero II , Marzo I , Marzo II , Abril I , Abril II , Mayo I , Mayo II , Junio I , Junio II , Julio I , Julio II , Agosto I , Agosto II , Setiembre I , Setiembre II , Octubre I , Octubre II , Noviembre I , Noviembre II , Diciembre I , Diciembre II 
Salario,"1,203,500","603,500","1,203,500","603,500","1,203,500","603,500","1,203,500","603,500","1,203,500","603,500","1,203,500","603,500","1,203,500","603,500","1,203,500","603,500","1,203,500","603,500","1,203,500","603,500","1,203,500","603,500","1,203,500","603,500"
Ingresos Extra, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Total,"1,203,500","603,500","1,203,500","603,500","1,203,500","603,500","1,203,500","603,500","1,203,500","603,500","1,203,500","603,500","1,203,500","603,500","1,203,500","603,500","1,203,500","603,500","1,203,500","603,500","1,203,500","603,500","1,203,500","603,500"
 , , , , , , , , , , , , , , , , , , , , , , , , 
Hipoteca,"265,000","265,000","265,000","265,000","265,000","265,000","265,000","265,000","265,000","265,000","265,000","265,000","265,000","265,000","265,000","265,000","265,000","265,000","265,000","265,000","265,000","265,000","265,000","265,000"
Cuota Condominio,"37,500","37,500","37,500","37,500","37,500","37,500","37,500","37,500","37,500","37,500","37,500","37,500","37,500","37,500","37,500","37,500","37,500","37,500","37,500","37,500","37,500","37,500","37,500","37,500"
Tasa 0,"130,000","30,000","130,000","30,000","130,000","30,000","130,000","30,000","130,000","30,000","130,000","30,000","130,000","30,000","130,000","30,000","130,000","30,000","130,000","30,000","130,000","30,000","130,000","30,000"
Boletos,"30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000"
Celular,"10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000"
Regalos,"35,000",0,"35,000",0,"35,000",0,"35,000",0,"35,000",0,"35,000",0,"35,000",0,"35,000",0,"35,000",0,"35,000",0,"35,000",0,"35,000",0
Ahorro,"50,000","19,500","50,000","19,500","50,000","19,500","50,000","19,500","50,000","19,500","50,000","19,500","50,000","19,500","50,000","19,500","50,000","19,500","50,000","19,500","50,000","19,500","50,000","19,500"
Entretenimiento,"73,500",0,"73,500",0,"73,500",0,"73,500",0,"73,500",0,"73,500",0,"73,500",0,"73,500",0,"73,500",0,"73,500",0,"73,500",0,"73,500",0
Tequila,"30,000",0,"30,000",0,"30,000",0,"30,000",0,"30,000",0,"30,000",0,"30,000",0,"30,000",0,"30,000",0,"30,000",0,"30,000",0,"30,000",0
Marchamo y seguros,"43,000",0,"43,000",0,"43,000",0,"43,000",0,"43,000",0,"43,000",0,"43,000",0,"43,000",0,"43,000",0,"43,000",0,"43,000",0,"43,000",0
Carro Mantenimiento,"20,000",20000,"20,000",20000,"20,000",20000,"20,000",20000,"20,000",20000,"20,000",20000,"20,000",20000,"20,000",20000,"20,000",20000,"20,000",20000,"20,000",20000,"20,000",20000
Ropa,"30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000"
Gas,"50,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000"
Comida,"100,000","40,000","100,000","40,000","100,000","40,000","100,000","40,000","100,000","40,000","100,000","40,000","100,000","40,000","100,000","40,000","100,000","40,000","100,000","40,000","100,000","40,000","100,000","40,000"
Viajes,"80,000",,"80,000",,"80,000",,"80,000",,"80,000",,"80,000",,"80,000",,"80,000",,"80,000",,"80,000",,"80,000",,"80,000",
Cuota Carro,57500,57500,57500,57500,57500,57500,57500,57500,57500,57500,57500,57500,57500,57500,57500,57500,57500,57500,57500,57500,57500,57500,57500,57500
Internet,"28,000",0,"28,000",0,"28,000",0,"28,000",0,"28,000",0,"28,000",0,"28,000",0,"28,000",0,"28,000",0,"28,000",0,"28,000",0,"28,000",0
Electricidad,"10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000"
Comida afuera,"80,000",,"80,000",,"80,000",,"80,000",,"80,000",,"80,000",,"80,000",,"80,000",,"80,000",,"80,000",,"80,000",,"80,000",
Casa Mantenimiento,"40,000",,"40,000",,"40,000",,"40,000",,"40,000",,"40,000",,"40,000",,"40,000",,"40,000",,"40,000",,"40,000",,"40,000",
Agua,"4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000"
Total,"1,203,500","603,500","1,203,500","603,500","1,203,500","603,500","1,203,500","603,500","1,203,500","603,500","1,203,500","603,500","1,203,500","603,500","1,203,500","603,500","1,203,500","603,500","1,203,500","603,500","1,203,500","603,500","1,203,500","603,500"
